age,gender,weight_kg,height_m,max_bpm,avg_bpm,resting_bpm,session_duration_hours,calories_burned,workout_type,fat_percentage,bmi,carbs,proteins,fats,calories,meal_type,diet_type,sugar_g,sodium_mg,cholesterol_mg,pct_carbs,protein_per_kg,cal_balance,lean_mass_kg
34,Male,65.27,1.62,188.58,157.65,69.05,1.0,1080.9,Strength,26.800377179186803,24.87,267.68,106.05,71.63,1806.0,Lunch,Vegan,31.77,1729.94,285.05,0.5004323258194326,1.624789336601808,725.0999999999999,47.77739381514478
23,Female,56.41,1.55,179.43,131.75,73.18,1.37,1809.91,Hiit,27.65502094955822,23.48,214.32,85.41,56.97,1577.0,Lunch,Vegetarian,12.34,693.08,300.61,0.5008500569625799,1.5140932458783904,-232.91000000000008,40.8098026823542
33,Female,58.98,1.67,175.04,123.95,54.96,0.91,802.26,Cardio,24.32082112410528,21.15,246.04,98.11,65.48,1608.0,Breakfast,Paleo,42.81,2142.48,215.42,0.5006104012370798,1.6634452356731095,805.74,44.63557970100271
38,Female,93.78,1.7,191.21,155.1,50.07,1.1,1450.79,Hiit,32.81357178608907,32.45,203.22,80.84,54.56,2657.0,Lunch,Paleo,9.34,123.2,9.7,0.499532962981171,0.8620174877372574,1206.21,63.00743237900567
45,Male,52.42,1.88,193.58,152.88,70.84,1.08,1166.4,Strength,17.307318603384633,14.83,332.79,133.05,88.43,1470.0,Breakfast,Vegan,23.78,1935.11,116.89,0.5005809952505048,2.538153376573827,303.5999999999999,43.34750358810577
53,Female,105.05,1.84,176.52,130.6,61.84,0.69,453.33,Yoga,32.04906403773502,31.03,170.86,67.92,46.06,2767.0,Snack,Keto,15.89,2382.39,36.38,0.4989851495991706,0.6465492622560686,2313.67,71.38245822835935
23,Male,58.41,1.78,184.75,140.9,58.01,1.67,1953.9,Strength,20.54629200523472,18.44,280.33,112.35,74.97,1867.0,Breakfast,Low-Carb,12.48,2220.46,56.69,0.4993742902313567,1.923472008217771,-86.90000000000009,46.4089108397424
55,Female,84.07,1.63,183.87,141.12,51.79,1.01,727.81,Yoga,32.08817620708069,31.64,262.57,105.41,70.37,2191.0,Snack,Low-Carb,2.87,1501.99,74.7,0.4988861180382377,1.2538360889734743,1463.19,57.093470262707264
24,Female,88.58,1.79,176.78,154.07,65.19,1.76,2062.37,Strength,27.36724576855457,27.65,173.08,69.44,45.91,2587.0,Lunch,Vegan,0.72,293.36,188.26,0.5004952033948543,0.7839241363738992,524.6300000000001,64.33809369821437
39,Female,50.32,1.6,166.88,128.04,49.91,1.17,1157.25,Strength,21.90937914793248,19.66,191.06,76.76,50.71,1247.0,Lunch,Paleo,50.02,757.93,291.34,0.5002651096113689,1.5254372019077902,89.75,39.29520041276037
50,Male,86.37,1.63,160.92,143.2,57.87,1.69,1974.26,Strength,29.07152849804965,32.51,258.98,102.72,68.72,2476.0,Breakfast,Keto,10.0,1356.53,170.61,0.5015881623799194,1.189301840916985,501.74,61.260920836234526
47,Female,83.89,1.82,176.36,148.74,69.91,1.91,2733.4,Hiit,23.64931819941694,25.33,231.16,93.27,61.23,2232.0,Snack,Keto,11.88,323.04,135.18,0.5001325191070917,1.1118130885683633,-501.4000000000001,64.05058696250913
19,Male,82.66,1.96,173.75,168.71,62.16,1.89,2700.62,Hiit,24.128786918912287,21.52,181.82,71.6,48.11,2569.0,Dinner,Vegan,30.3,80.98,210.51,0.5027269522420454,0.8661988870070166,-131.6199999999999,62.7151447328271
38,Female,57.67,1.56,184.91,132.43,54.04,1.64,2345.2,Hiit,26.59443119940612,23.7,369.71,147.77,98.38,1726.0,Breakfast,Low-Carb,35.84,131.07,244.36,0.5003958935350924,2.5623374371423617,-619.1999999999998,42.33299152730249
27,Female,71.79,1.97,180.96,151.11,72.68,0.75,743.85,Strength,24.47776252578399,18.5,207.16,82.59,55.08,2046.0,Lunch,Low-Carb,16.18,674.45,127.06,0.5007735447689035,1.1504387797743418,1302.15,54.21741428273968
18,Female,95.12,1.85,189.48,142.51,49.9,1.2,1293.84,Strength,28.04992817494376,27.79,298.25,118.86,79.54,2455.0,Snack,Paleo,25.56,835.15,299.07,0.5003564987627396,1.2495794785534062,1161.16,68.4389083199935
40,Male,56.88,1.71,168.02,142.67,60.89,1.87,2189.58,Strength,21.80926489283508,19.45,192.66,76.8,51.19,1740.0,Breakfast,Paleo,43.14,58.47,291.5,0.5008871989860583,1.350210970464135,-449.5799999999999,44.47489012895541
37,Male,76.48,1.77,180.29,127.8,56.76,1.36,1305.6,Cardio,30.300737914959768,24.41,233.62,92.99,62.41,2166.0,Breakfast,Low-Carb,27.8,434.36,271.65,0.5002221472809708,1.215873430962343,860.4000000000001,53.30599564263877
18,Male,72.56,1.79,177.48,124.41,60.95,0.81,803.36,Strength,26.40511440359576,22.65,219.75,87.27,58.09,1802.0,Lunch,Vegetarian,5.03,1193.73,252.47,0.5020303959700495,1.202728776185226,998.64,53.40044898875092
46,Male,60.05,1.68,164.91,147.1,62.34,1.17,1544.4,Hiit,21.804029360668224,21.28,247.96,99.4,66.24,1716.0,Lunch,Vegetarian,16.21,1318.33,53.39,0.4995165189363417,1.6552872606161533,171.5999999999999,46.95668036891873
37,Female,73.04,1.74,188.15,140.95,65.11,1.04,1123.2,Strength,25.78541781279678,24.12,300.3,120.63,80.22,2038.0,Snack,Vegan,1.96,2075.74,21.79,0.4993141289437586,1.6515607886089811,914.8,54.20633082953324
50,Female,86.72,1.63,160.86,143.17,58.08,1.7,1326.0,Yoga,29.12385208982389,32.64,256.65,103.91,68.88,2212.0,Breakfast,Balanced,10.7,1357.2,172.78,0.4978275206579509,1.198224169741697,886.0,61.46379546770473
30,Female,76.77,1.71,189.88,137.2,51.88,1.27,1214.12,Cardio,29.31860660365026,26.25,222.21,89.25,58.85,2182.0,Breakfast,Paleo,15.41,278.9,228.23,0.5006167311559062,1.1625635013677218,967.88,54.26210571037769
24,Female,88.29,1.79,177.55,153.6,65.23,1.76,1831.81,Cardio,26.7693540494346,27.56,174.44,69.19,46.48,2410.0,Lunch,Keto,0.81,299.22,187.88,0.5009620631228282,0.783667459508438,578.19,64.65533730975419
50,Male,57.01,1.91,184.12,131.58,68.07,1.09,1177.2,Strength,22.39259644326159,15.63,177.97,71.05,47.3,1510.0,Lunch,Keto,7.67,1250.31,138.48,0.5006963102589711,1.2462725837572357,332.79999999999995,44.24398076769656
54,Female,87.22,1.76,188.72,157.91,68.0,1.48,1067.38,Yoga,28.418499463942585,28.16,296.87,118.4,79.38,2269.0,Lunch,Keto,15.56,2425.23,235.02,0.4998863397179541,1.3574868149506996,1201.62,62.43338476754927
25,Female,105.44,1.88,174.12,155.79,67.11,1.33,1277.86,Cardio,30.89257150473395,29.83,198.29,79.79,52.85,3016.0,Lunch,Balanced,43.02,2092.8,254.4,0.499480468774599,0.7567336874051594,1738.14,72.86687260540852
39,Male,102.34,1.94,192.28,133.68,50.01,0.9,792.0,Cardio,32.46285886287696,27.19,282.28,111.71,74.89,2624.0,Lunch,Vegan,9.88,434.89,2.84,0.5018378022818082,1.0915575532538595,1832.0,69.11751023973171
